Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Transportation,FRT_Rail_Electric,NewCapacity,TechnoFriendly_globalLimit,,,,4.339078748,18.8173734,11.13198616,8.133767851,2.480167746
AT,Transportation,FRT_Rail_Electric,ResidualCapacity,TechnoFriendly_globalLimit,98.5997,73.9498,51.7649,31.0589,15.5295,6.2118,,
AT,Transportation,FRT_Rail_Electric,TotalCapacity,TechnoFriendly_globalLimit,98.5997,73.9498,51.7649,35.39797875,38.68595215,40.50023831,42.42220616,44.90237391
AT,Transportation,FRT_Road_ICE,ResidualCapacity,TechnoFriendly_globalLimit,169.9995,127.4996,89.2497,53.5498,26.7749,10.71,,
AT,Transportation,FRT_Road_ICE,TotalCapacity,TechnoFriendly_globalLimit,169.9995,127.4996,89.2497,53.5498,26.7749,10.71,,
AT,Transportation,FRT_Road_OH,NewCapacity,TechnoFriendly_globalLimit,0.159350987,,9.625022783,9.419562937,16.40142877,1.285940703,,
AT,Transportation,FRT_Road_OH,TotalCapacity,TechnoFriendly_globalLimit,0.159350987,0.159350987,9.78437377,19.20393671,35.60536548,36.89130618,36.7319552,36.7319552
AT,Transportation,FRT_Ship_Bio,NewCapacity,TechnoFriendly_globalLimit,,,,2.763282296,,0.043664913,,
AT,Transportation,FRT_Ship_Bio,TotalCapacity,TechnoFriendly_globalLimit,,,,2.763282296,2.763282296,2.80694721,2.80694721,2.80694721
AT,Transportation,FRT_Ship_Conv,ResidualCapacity,TechnoFriendly_globalLimit,12.9524,9.7143,6.8,4.08,2.04,0.816,,
AT,Transportation,FRT_Ship_Conv,TotalCapacity,TechnoFriendly_globalLimit,12.9524,9.7143,6.8,4.08,2.04,0.816,,
AT,Transportation,PSNG_Air_Conv,ResidualCapacity,TechnoFriendly_globalLimit,16.6971,12.5228,8.766,5.2596,2.6298,1.0519,,
AT,Transportation,PSNG_Air_Conv,TotalCapacity,TechnoFriendly_globalLimit,16.6971,12.5228,8.766,5.2596,2.6298,1.0519,,
AT,Transportation,PSNG_Air_H2,NewCapacity,TechnoFriendly_globalLimit,,,,2.531441416,,,,1.670803727
AT,Transportation,PSNG_Air_H2,TotalCapacity,TechnoFriendly_globalLimit,,,,2.531441416,2.531441416,2.531441416,2.531441416,1.670803727
AT,Transportation,PSNG_Rail_Conv,ResidualCapacity,TechnoFriendly_globalLimit,26.7154,20.0366,14.0256,8.4154,4.2077,1.6831,,
AT,Transportation,PSNG_Rail_Conv,TotalCapacity,TechnoFriendly_globalLimit,26.7154,20.0366,14.0256,8.4154,4.2077,1.6831,,
AT,Transportation,PSNG_Rail_Electric,NewCapacity,TechnoFriendly_globalLimit,,,,2.134596181,11.28614192,8.381258522,5.71712359,2.363309751
AT,Transportation,PSNG_Rail_Electric,ResidualCapacity,TechnoFriendly_globalLimit,62.3359,46.7519,32.7263,19.6358,9.8179,3.9272,,
