Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Sum,35.67,38.65,43.66,45.757,46.47,71.676,71.68,71.676,NO2
GradualDevelopment,Hydro,16.57,16.57,16.57,16.574,16.57,16.574,16.574,16.574,NO3
GradualDevelopment,PV,0.0,0.0,0.0,0.0,0.98,2.393,2.799,2.859,NO3
GradualDevelopment,Thermal,0.82,0.72,0.11,0.094,0.08,0.068,0.058,0.049,NO3
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO3
GradualDevelopment,Wind Onshore,3.43,3.43,7.11,10.453,10.32,10.219,9.823,9.771,NO3
GradualDevelopment,Sum,20.82,20.72,23.79,27.121,27.95,29.254,29.254,29.254,NO3
GradualDevelopment,Hydro,12.69,16.4,16.401,16.401,16.401,16.4,16.401,16.401,NO4
GradualDevelopment,PV,0.0,0.0,0.0,0.0,0.0,1.58,2.911,3.164,NO4
GradualDevelopment,Thermal,0.48,0.42,0.065,0.055,0.047,0.04,0.034,0.029,NO4
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO4
GradualDevelopment,Wind Onshore,1.33,1.33,7.78,13.097,14.059,14.6,14.456,14.208,NO4
GradualDevelopment,Sum,14.5,18.15,24.245,29.553,30.506,32.62,33.802,33.802,NO4
GradualDevelopment,Hydro,24.89,24.89,24.89,24.894,24.894,24.894,24.89,24.894,NO5
GradualDevelopment,PV,0.0,0.0,0.0,0.174,0.656,0.964,0.96,0.964,NO5
GradualDevelopment,Thermal,0.43,0.37,1.7,0.049,0.042,0.035,0.03,0.026,NO5
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.073,13.703,13.71,13.997,NO5
GradualDevelopment,Wind Onshore,0.0,0.0,2.13,4.269,4.269,4.269,4.27,3.984,NO5
GradualDevelopment,Sum,25.32,25.27,28.73,29.386,29.934,43.866,43.87,43.866,NO5
GradualDevelopment,Hydro,12.746,26.44,26.44,29.77,29.77,29.77,29.77,29.77,an
GradualDevelopment,PV,0.021,0.021,14.21,14.48,30.93,71.95,93.38,97.75,an
GradualDevelopment,Thermal,38.478,32.707,22.85,8.55,9.43,9.43,9.43,9.43,an
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,an
