Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Resources,RES_Roundwood,TotalCapacity,DirectedTransition_globalLimit,,,,,46.36323109,178.1966557,178.1966557,178.1966557
AT,Storages,D_Battery_Li-Ion,NewCapacity,DirectedTransition_globalLimit,,,,,4.465879381,6.146227401,,2.801213755
AT,Storages,D_Battery_Li-Ion,TotalCapacity,DirectedTransition_globalLimit,,,,,4.465879381,10.61210678,10.61210678,8.947441156
AT,Storages,D_Gas_H2,NewCapacity,DirectedTransition_globalLimit,,,0.829256493,0.01658513,5.220218588,,,
AT,Storages,D_Gas_H2,TotalCapacity,DirectedTransition_globalLimit,,,0.829256493,0.845841623,6.066060211,6.066060211,6.066060211,6.066060211
AT,Storages,D_Heat_HLR,NewCapacity,DirectedTransition_globalLimit,,,2.23531377,4.003573037,,,,
AT,Storages,D_Heat_HLR,TotalCapacity,DirectedTransition_globalLimit,,,2.23531377,6.238886807,6.238886807,6.238886807,6.238886807,6.238886807
AT,Storages,D_Heat_HLI,NewCapacity,DirectedTransition_globalLimit,,,,0.173323181,,,,
AT,Storages,D_Heat_HLI,TotalCapacity,DirectedTransition_globalLimit,,,,0.173323181,0.173323181,0.173323181,0.173323181,0.173323181
AT,Storages,D_PHS,ResidualCapacity,DirectedTransition_globalLimit,3.175,3.175,3.175,3.175,3.175,3.175,3.175,3.175
AT,Storages,D_PHS,TotalCapacity,DirectedTransition_globalLimit,3.175,3.175,3.175,3.175,3.175,3.175,3.175,3.175
AT,Transformation,X_Electrolysis,NewCapacity,DirectedTransition_globalLimit,,,,,0.929329703,,1.971628624,0.783204835
AT,Transformation,X_Electrolysis,TotalCapacity,DirectedTransition_globalLimit,,,,,0.929329703,0.929329703,2.900958326,3.684163161
AT,Transformation,X_Methanation,NewCapacity,DirectedTransition_globalLimit,,,,,,13.47170845,,
AT,Transformation,X_Methanation,TotalCapacity,DirectedTransition_globalLimit,,,,,,13.47170845,13.47170845,13.47170845
BE,Power,P_Biomass,NewCapacity,DirectedTransition_globalLimit,,0.370580009,,,,,,
BE,Power,P_Biomass,ResidualCapacity,DirectedTransition_globalLimit,1.178,0.247437366,0.247437366,0.226706711,0.226455676,0.21821848,0.180197164,0.06375486
BE,Power,P_Biomass,TotalCapacity,DirectedTransition_globalLimit,1.178,0.618017374,0.618017374,0.59728672,0.597035685,0.588798489,0.550777173,0.434334869
BE,Power,P_Coal_Hardcoal,ResidualCapacity,DirectedTransition_globalLimit,2.09,1.5675,1.175625,0.88171875,0.661289063,0.495966797,,
BE,Power,P_Coal_Hardcoal,TotalCapacity,DirectedTransition_globalLimit,2.09,1.5675,1.175625,0.88171875,0.661289063,0.495966797,,
BE,Power,P_Gas,ResidualCapacity,DirectedTransition_globalLimit,5.439,5.049740357,4.981730027,4.854718945,4.022800539,2.446257722,1.740593032,0.825462079
BE,Power,P_Gas,TotalCapacity,DirectedTransition_globalLimit,5.439,5.049740357,4.981730027,4.854718945,4.022800539,2.446257722,1.740593032,0.825462079
BE,Power,P_Nuclear,ResidualCapacity,DirectedTransition_globalLimit,5.06,5.06,3.500069056,3.500069056,,,,
BE,Power,P_Nuclear,TotalCapacity,DirectedTransition_globalLimit,5.06,5.06,3.500069056,3.500069056,,,,
BE,Power,P_Oil,ResidualCapacity,DirectedTransition_globalLimit,1.82,1.710033478,1.710033478,1.706072522,0.005269963,0.00022454,,
BE,Power,P_Oil,TotalCapacity,DirectedTransition_globalLimit,1.82,1.710033478,1.710033478,1.706072522,0.005269963,0.00022454,,
BE,Power,RES_Hydro_Large,NewCapacity,DirectedTransition_globalLimit,,0.077458333,0.077458333,,,,,
BE,Power,RES_Hydro_Large,ResidualCapacity,DirectedTransition_globalLimit,1.308000333,,,,,,,
BE,Power,RES_Hydro_Large,TotalCapacity,DirectedTransition_globalLimit,1.308000333,0.077458333,0.154916667,0.154916667,0.154916667,0.154916667,0.154916667,0.154916667
BE,Power,RES_Hydro_Small,ResidualCapacity,DirectedTransition_globalLimit,0.119166667,0.111712709,0.111584915,0.101597621,0.090751206,0.090751206,0.090751206,0.090751206
BE,Power,RES_Hydro_Small,TotalCapacity,DirectedTransition_globalLimit,0.119166667,0.111712709,0.111584915,0.101597621,0.090751206,0.090751206,0.090751206,0.090751206
