Region,Category,Technology,Mode,Fuel,Timeslice,Type,Unit,Scenario,2015,2020,2025,2030,2035,2040,2045,2050
DolAmroth,Power,RES_Hydro_Large,1,Power,2448,Production,PJ,MiddleEarth_globalLimit,0.606752879,0.216826823,,,0.658102732,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,2692,Production,PJ,MiddleEarth_globalLimit,2.195016855,2.429037758,3.939802171,3.185018412,1.578289805,0.504420418,0.735181853,4.410937036
DolAmroth,Power,RES_Hydro_Large,1,Power,2936,Production,PJ,MiddleEarth_globalLimit,2.577515698,4.641562566,4.074676989,1.900898004,,,,0.450498695
DolAmroth,Power,RES_Hydro_Large,1,Power,3180,Production,PJ,MiddleEarth_globalLimit,2.119862848,5.607383212,4.483534765,1.800677844,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,3424,Production,PJ,MiddleEarth_globalLimit,1.171789983,1.352078586,2.982759569,1.256691182,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,3668,Production,PJ,MiddleEarth_globalLimit,0.908421246,2.349690433,2.941867187,2.546248959,1.031186775,1.385993979,,0.782791071
DolAmroth,Power,RES_Hydro_Large,1,Power,3912,Production,PJ,MiddleEarth_globalLimit,,,1.214555424,0.7703339,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,4156,Production,PJ,MiddleEarth_globalLimit,,3.064084677,3.199956788,2.586659062,2.132327915,1.237621756,,3.200577397
DolAmroth,Power,RES_Hydro_Large,1,Power,4400,Production,PJ,MiddleEarth_globalLimit,1.45667952,3.207776022,3.189571589,0.254191468,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,4644,Production,PJ,MiddleEarth_globalLimit,3.048358748,5.189603544,4.339092437,0.610173562,0.189329465,,0.175858856,
DolAmroth,Power,RES_Hydro_Large,1,Power,4888,Production,PJ,MiddleEarth_globalLimit,2.333862969,5.063727896,4.522579181,2.640446571,3.029068358,2.182111421,1.434768507,1.833783403
DolAmroth,Power,RES_Hydro_Large,1,Power,5132,Production,PJ,MiddleEarth_globalLimit,2.390729265,4.326182708,4.18516063,3.884702743,5.75128413,6.360469274,6.700359864,6.8487432
DolAmroth,Power,RES_Hydro_Large,1,Power,5376,Production,PJ,MiddleEarth_globalLimit,1.362575016,3.270876985,2.916889938,2.128091804,3.350860012,2.34572406,4.600701818,6.8487432
DolAmroth,Power,RES_Hydro_Large,1,Power,5620,Production,PJ,MiddleEarth_globalLimit,1.651910856,3.750532973,3.385365338,2.635899366,0.937359378,1.941161825,2.437629793,3.893526149
DolAmroth,Power,RES_Hydro_Large,1,Power,5864,Production,PJ,MiddleEarth_globalLimit,2.122205386,4.93351164,4.49531554,3.049353485,4.609078265,3.642865235,2.351668288,4.14345843
DolAmroth,Power,RES_Hydro_Large,1,Power,6108,Production,PJ,MiddleEarth_globalLimit,2.949845024,5.809917972,4.958194768,2.506567421,1.177196021,2.446529855,3.115245132,2.831771357
DolAmroth,Power,RES_Hydro_Large,1,Power,6352,Production,PJ,MiddleEarth_globalLimit,2.444904419,5.58051956,5.66422573,4.571719327,4.067156165,4.742454957,4.773264991,4.069194253
DolAmroth,Power,RES_Hydro_Large,1,Power,6596,Production,PJ,MiddleEarth_globalLimit,2.401100704,4.581753279,4.373539177,5.535778427,7.602899676,7.143193641,4.981423211,5.493924789
DolAmroth,Power,RES_Hydro_Large,1,Power,6840,Production,PJ,MiddleEarth_globalLimit,1.501755927,3.635524567,3.254578354,5.028562471,4.089844404,3.997079189,2.858382126,
DolAmroth,Power,RES_Hydro_Large,1,Power,7084,Production,PJ,MiddleEarth_globalLimit,,1.310771912,2.303489713,2.944233174,1.425438252,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,7328,Production,PJ,MiddleEarth_globalLimit,1.407307783,4.325586728,3.991605331,3.377236898,1.593693907,0.477304015,,
DolAmroth,Power,RES_Hydro_Large,1,Power,7572,Production,PJ,MiddleEarth_globalLimit,4.714726416,6.942459177,6.414761942,6.193616779,6.535693767,6.253898967,6.449271934,5.666725763
DolAmroth,Power,RES_Hydro_Large,1,Power,7816,Production,PJ,MiddleEarth_globalLimit,4.871839023,7.118415513,7.170736454,6.712289118,6.441186186,7.384389675,5.739898203,6.554386396
DolAmroth,Power,RES_Hydro_Large,1,Power,8060,Production,PJ,MiddleEarth_globalLimit,4.854200081,6.910918904,6.811737602,6.695291924,8.681154394,8.681154394,6.8487432,6.8487432
DolAmroth,Power,RES_Hydro_Large,1,Power,8304,Production,PJ,MiddleEarth_globalLimit,3.385373961,3.599933263,3.101844574,2.444919045,3.008222779,3.278466312,2.729201699,1.704318736
DolAmroth,Power,RES_Hydro_Large,1,Power,8548,Production,PJ,MiddleEarth_globalLimit,1.016057285,0.997773847,0.64781365,2.251412997,4.146748428,5.232204626,4.849850314,4.252450256
DolAmroth,Power,RES_Hydro_Small,1,Power,8,Production,PJ,MiddleEarth_globalLimit,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,1.910640488,,
DolAmroth,Power,RES_Hydro_Small,1,Power,252,Production,PJ,MiddleEarth_globalLimit,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021
DolAmroth,Power,RES_Hydro_Small,1,Power,496,Production,PJ,MiddleEarth_globalLimit,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021,2.37362021
DolAmroth,Power,RES_Hydro_Small,1,Power,740,Production,PJ,MiddleEarth_globalLimit,2.396010688,2.396010688,2.396010688,2.396010688,2.396010688,2.396010688,2.396010688,2.396010688
DolAmroth,Power,RES_Hydro_Small,1,Power,984,Production,PJ,MiddleEarth_globalLimit,2.418398497,2.418398497,2.418398497,2.418398497,2.418398497,2.418398497,2.418398497,2.418398497
DolAmroth,Power,RES_Hydro_Small,1,Power,1228,Production,PJ,MiddleEarth_globalLimit,2.361581195,2.361581195,2.361581195,2.361581195,2.361581195,2.361581195,2.361581195,2.361581195
DolAmroth,Power,RES_Hydro_Small,1,Power,1472,Production,PJ,MiddleEarth_globalLimit,2.282342302,2.282342302,2.282342302,2.282342302,2.282342302,2.282342302,2.282342302,2.282342302
DolAmroth,Power,RES_Hydro_Small,1,Power,1716,Production,PJ,MiddleEarth_globalLimit,2.20305858,2.20305858,2.20305858,2.20305858,2.20305858,2.20305858,2.20305858,2.20305858
DolAmroth,Power,RES_Hydro_Small,1,Power,1960,Production,PJ,MiddleEarth_globalLimit,2.358499064,2.358499064,2.358499064,2.358499064,2.358499064,2.358499064,2.358499064,2.358499064
DolAmroth,Power,RES_Hydro_Small,1,Power,2204,Production,PJ,MiddleEarth_globalLimit,2.513796267,2.513796267,2.513796267,2.513796267,2.513796267,2.513796267,2.513796267,2.513796267
DolAmroth,Power,RES_Hydro_Small,1,Power,2448,Production,PJ,MiddleEarth_globalLimit,2.668990062,2.668990062,2.668990062,2.668990062,2.668990062,2.668990062,2.668990062,2.668990062
DolAmroth,Power,RES_Hydro_Small,1,Power,2692,Production,PJ,MiddleEarth_globalLimit,2.911966581,2.911966581,2.911966581,2.911966581,2.911966581,2.911966581,2.911966581,2.911966581
DolAmroth,Power,RES_Hydro_Small,1,Power,2936,Production,PJ,MiddleEarth_globalLimit,3.154793526,3.154793526,3.154793526,3.154793526,3.154793526,3.154793526,3.154793526,3.154793526
DolAmroth,Power,RES_Hydro_Small,1,Power,3180,Production,PJ,MiddleEarth_globalLimit,3.397501296,3.397501296,3.397501296,3.397501296,3.397501296,3.397501296,3.397501296,3.397501296
DolAmroth,Power,RES_Hydro_Small,1,Power,3424,Production,PJ,MiddleEarth_globalLimit,3.272663206,3.272663206,3.272663206,3.272663206,3.272663206,3.272663206,1.557380431,
DolAmroth,Power,RES_Hydro_Small,1,Power,3668,Production,PJ,MiddleEarth_globalLimit,3.147796526,3.147796526,3.147796526,3.147796526,3.147796526,3.147796526,3.147796526,3.147796526
DolAmroth,Power,RES_Hydro_Small,1,Power,3912,Production,PJ,MiddleEarth_globalLimit,3.022898284,3.022898284,3.022898284,3.022898284,3.022898284,3.022898284,3.022898284,3.022898284
DolAmroth,Power,RES_Hydro_Small,1,Power,4156,Production,PJ,MiddleEarth_globalLimit,2.9560993,2.9560993,2.9560993,2.9560993,2.9560993,2.9560993,2.9560993,2.9560993
DolAmroth,Power,RES_Hydro_Small,1,Power,4400,Production,PJ,MiddleEarth_globalLimit,2.889289598,2.889289598,2.889289598,2.889289598,2.889289598,2.889289598,2.889289598,2.889289598
DolAmroth,Power,RES_Hydro_Small,1,Power,4644,Production,PJ,MiddleEarth_globalLimit,2.822468422,2.822468422,2.822468422,2.822468422,2.822468422,2.822468422,2.822468422,2.822468422
DolAmroth,Power,RES_Hydro_Small,1,Power,4888,Production,PJ,MiddleEarth_globalLimit,2.620988584,2.620988584,2.620988584,2.620988584,2.620988584,2.620988584,2.620988584,2.620988584
DolAmroth,Power,RES_Hydro_Small,1,Power,5132,Production,PJ,MiddleEarth_globalLimit,2.419361358,2.419361358,2.419361358,2.419361358,2.419361358,2.419361358,2.419361358,2.419361358
DolAmroth,Power,RES_Hydro_Small,1,Power,5376,Production,PJ,MiddleEarth_globalLimit,2.217521474,2.217521474,2.217521474,2.217521474,2.217521474,2.217521474,2.217521474,2.217521474
DolAmroth,Power,RES_Hydro_Small,1,Power,5620,Production,PJ,MiddleEarth_globalLimit,2.2815232,2.2815232,2.2815232,2.2815232,2.2815232,2.2815232,2.2815232,2.2815232
DolAmroth,Power,RES_Hydro_Small,1,Power,5864,Production,PJ,MiddleEarth_globalLimit,2.345495732,2.345495732,2.345495732,2.345495732,2.345495732,2.345495732,2.345495732,2.345495732
DolAmroth,Power,RES_Hydro_Small,1,Power,6108,Production,PJ,MiddleEarth_globalLimit,2.409443696,2.409443696,2.409443696,2.409443696,2.409443696,2.409443696,2.409443696,2.409443696
DolAmroth,Power,RES_Hydro_Small,1,Power,6352,Production,PJ,MiddleEarth_globalLimit,2.336344629,2.336344629,2.336344629,2.336344629,2.336344629,2.336344629,2.336344629,2.336344629
DolAmroth,Power,RES_Hydro_Small,1,Power,6596,Production,PJ,MiddleEarth_globalLimit,2.263212673,2.263212673,2.263212673,2.263212673,2.263212673,2.263212673,2.263212673,2.263212673
DolAmroth,Power,RES_Hydro_Small,1,Power,6840,Production,PJ,MiddleEarth_globalLimit,2.190040316,2.190040316,2.190040316,2.190040316,2.190040316,2.190040316,2.190040316,2.190040316
DolAmroth,Power,RES_Hydro_Small,1,Power,7084,Production,PJ,MiddleEarth_globalLimit,2.28512077,2.28512077,2.28512077,2.28512077,2.28512077,2.28512077,2.28512077,2.28512077
DolAmroth,Power,RES_Hydro_Small,1,Power,7328,Production,PJ,MiddleEarth_globalLimit,2.38013703,2.38013703,2.38013703,2.38013703,2.38013703,2.38013703,2.38013703,2.38013703
DolAmroth,Power,RES_Hydro_Small,1,Power,7572,Production,PJ,MiddleEarth_globalLimit,2.475103148,2.475103148,2.475103148,2.475103148,2.475103148,2.475103148,2.475103148,2.475103148
DolAmroth,Power,RES_Hydro_Small,1,Power,7816,Production,PJ,MiddleEarth_globalLimit,2.295848718,2.295848718,2.295848718,2.295848718,2.295848718,2.295848718,2.295848718,2.295848718
DolAmroth,Power,RES_Hydro_Small,1,Power,8060,Production,PJ,MiddleEarth_globalLimit,2.11636513,2.11636513,2.11636513,2.11636513,2.11636513,2.11636513,2.11636513,2.11636513
DolAmroth,Power,RES_Hydro_Small,1,Power,8304,Production,PJ,MiddleEarth_globalLimit,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513
DolAmroth,Power,RES_Hydro_Small,1,Power,8548,Production,PJ,MiddleEarth_globalLimit,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513,1.936272513
DolAmroth,Power,RES_PV_Utility_Avg,1,Power,4644,Production,PJ,MiddleEarth_globalLimit,0.524139324,0.524139324,0.505843657,0.429967108,0.365472042,0.310651236,0.310651236,0.310651236
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1472,Production,PJ,MiddleEarth_globalLimit,,,0.027248321,0.202452921,0.404905841,0.404905841,0.404905841,0.404905841
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1716,Production,PJ,MiddleEarth_globalLimit,,,0.244687771,1.818011245,3.636022489,3.636022489,3.636022489,3.636022489
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,1960,Production,PJ,MiddleEarth_globalLimit,,,0.104591834,0.777109255,1.554218509,1.554218509,1.554218509,1.554218509
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,2936,Production,PJ,MiddleEarth_globalLimit,,,0.219523393,1.63104186,3.26208372,3.26208372,3.26208372,3.26208372
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,3180,Production,PJ,MiddleEarth_globalLimit,,,0.457888636,3.402077215,6.80415443,6.80415443,6.80415443,6.80415443
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,3424,Production,PJ,MiddleEarth_globalLimit,,,0.387812457,2.88141661,5.76283322,5.76283322,5.76283322,5.439825397
DolAmroth,Power,RES_PV_Utility_Opt,1,Power,4400,Production,PJ,MiddleEarth_globalLimit,,,0.335991175,2.496388491,4.992776981,4.992776981,4.992776981,4.992776981
